Taxon	65;89;158	30;87	10	33;85	1;4;11;15;22;24;26;37;38;39;40;44;45;51;62;70;75;79;80;82;84;88;90;91;92;93;94;96;101;112;116;122;125;131;132;140;151;156;166;171;177;179	7;23;25;35;41;48;50;52;53;66;67;69;86;99;103;120;133;137;146;148;149;154;159;174;176	8;61;72;121;129;155	47;49;97	3	28;145;153	46;68;108;109;150;175	5;19;64;76;77;95;105;110;111;147;164;168;169;173	14;18;21;29;31;55;59;63;71;81;100;102;106;113;114;118;123;124;126;128;135;143;152;161;163;165	32	43;60;130	12;104	144	6;9;13;17;27;34;56;57;78;83;98;115;117;127;139;141;142;157;162;172;178;180	16;36;54;58;119;138	136;167	2;74;107;160	134	20;73;170	42
pH	0.133593098837614	0.0302849440451432	0.237294848398609	0.13756555790177	-0.15763937041707	0.184017128605748	0.258306460396139	0.269534546988858	0.166784995873384	-0.0354312466910504	0.249487169654523	0.0711728234341951	0.173012532795159	-0.138396060405574	0.1780503974096	0.118364953456853	0.166784995873384	0.282639932108544	0.116476634106618	0.14060009226725	0.118637375881202	0.166784995873384	0.0998216650700168	-0.138396060405574
Silt	-0.0794899746977702	0.0154946225347244	0.0846934305352999	0.0040460458206403	-0.072382336822725	0.102663196798023	0.31118504541495	0.173635462885006	0.166784995873384	0.0136360003038112	0.015668276355115	0.0998298678532439	0.14138658594013	0.0106458508004288	0.257854530335184	0.0923224282864594	0.166784995873384	0.120581688103241	0.0887904518120085	0.0111266260067608	0.21753339150147	0.166784995873384	0.276969972095681	0.0106458508004288
WHC	-0.0794899746977702	0.0154946225347244	0.0846934305352999	0.0040460458206403	-0.072382336822725	0.102663196798023	0.31118504541495	0.173635462885006	0.166784995873384	0.0136360003038112	0.015668276355115	0.0998298678532439	0.14138658594013	0.0106458508004288	0.257854530335184	0.0923224282864594	0.166784995873384	0.120581688103241	0.0887904518120085	0.0111266260067608	0.21753339150147	0.166784995873384	0.276969972095681	0.0106458508004288
TN	0.0794899746977702	-0.0154946225347244	-0.0846934305352999	-0.0040460458206403	0.072382336822725	-0.102663196798023	-0.31118504541495	-0.173635462885006	-0.166784995873384	-0.0136360003038112	-0.015668276355115	-0.0998298678532439	-0.14138658594013	-0.0106458508004288	-0.257854530335184	-0.0923224282864594	-0.166784995873384	-0.120581688103241	-0.0887904518120085	-0.0111266260067608	-0.21753339150147	-0.166784995873384	-0.276969972095681	-0.0106458508004288
Plot	0.102329071846329	0.0180881494893885	-0.0239068990170149	0.0160782903377494	0.0341293405561173	-0.172258614920699	-0.248316582062259	-0.140752622255185	-0.148782029733305	0.0294001711963862	0.0204998327162334	-0.0790680813328097	-0.0776146483934109	0.017712146396822	-0.215452487970481	-0.0545046817056343	-0.148782029733305	-0.0631481500340541	-0.0367497787177241	0.00916540222151898	-0.182651201541988	-0.148782029733305	-0.214733577760145	0.017712146396822
EC	0.133593098837614	0.0302849440451432	0.237294848398609	0.13756555790177	-0.15763937041707	0.184017128605748	0.258306460396139	0.269534546988858	0.166784995873384	-0.0354312466910504	0.249487169654523	0.0711728234341951	0.173012532795159	-0.138396060405574	0.1780503974096	0.118364953456853	0.166784995873384	0.282639932108544	0.116476634106618	0.14060009226725	0.118637375881202	0.166784995873384	0.0998216650700168	-0.138396060405574
DW	0.0275052669234239	0.194884145072312	0.172475197879325	0.144234247374829	-0.107630270380842	-0.0549556739717289	0.0409969932510801	0.12229654299709	0.0266859787934198	0.227730031740716	0.0977825602505244	0.0360571818229699	0.0774231551241178	-0.126758399268744	-0.0759625434595329	0.232405457997907	0.0266859787934198	0.195545443380251	0.035093600255072	0.141016039015552	-0.0055286055570722	0.0266859787934198	-0.222700002082157	-0.126758399268744
Sand	0.0794899746977702	-0.0154946225347244	-0.0846934305352999	-0.0040460458206403	0.072382336822725	-0.102663196798023	-0.31118504541495	-0.173635462885006	-0.166784995873384	-0.0136360003038112	-0.015668276355115	-0.0998298678532439	-0.14138658594013	-0.0106458508004288	-0.257854530335184	-0.0923224282864594	-0.166784995873384	-0.120581688103241	-0.0887904518120085	-0.0111266260067608	-0.21753339150147	-0.166784995873384	-0.276969972095681	-0.0106458508004288
Clay	0.133593098837614	0.0302849440451432	0.237294848398609	0.13756555790177	-0.15763937041707	0.184017128605748	0.258306460396139	0.269534546988858	0.166784995873384	-0.0354312466910504	0.249487169654523	0.0711728234341951	0.173012532795159	-0.138396060405574	0.1780503974096	0.118364953456853	0.166784995873384	0.282639932108544	0.116476634106618	0.14060009226725	0.118637375881202	0.166784995873384	0.0998216650700168	-0.138396060405574
Arbus_per	0.142190889883461	0.0872617726524565	0.0079008950550278	-0.0249905423471161	-0.0846244015501698	0.0818237729476779	-0.182343169740194	-0.189711000338946	-0.0806898470628847	0.0335687340817448	-0.0468616387859903	0.0123958208603272	-0.00189181106987672	0.0437070004923959	-0.142746541142562	-0.0112248763806465	-0.0806898470628847	-0.0700637840246673	0.0642654700598483	-0.027718123665238	-0.0712141716621666	-0.0806898470628847	-0.112464572604735	0.0437070004923959
