SampleID	Group	Distance_to_Centroid	PCoA1	PCoA2	PCoA3	PCoA4	PCoA5	PCoA6	PCoA7	PCoA8	PCoA9	PCoA10	PCoA11
Fe1	fenol	0.0159530016662697	0.0224348446766664	-0.0126573589699427	0.0113600577488894	-0.0101782987012663	-0.0026826199502469	0.00793837421486774	0.00282012647928477	0.000657944341848623	0.00823118682424695	0.0129047854348618	-0.010471984866284
Fe2	fenol	0.0757847812264663	-0.0581404829231459	0.0195470837451085	-0.0237223064516754	0.0186144936091203	0.00488556885144233	0.00116477642709135	-0.00108138617727407	0.0100964390717774	0.00431020628013989	0.0147846644713056	-0.0434245463036383
Fe3	fenol	0.0460121206458361	0.00560806791789883	0.037559221953807	-0.00688386112762796	0.000177530052477442	-0.00953699757623772	-0.00272103521796465	0.0016117756363007	-0.0121325169402589	0.015453192342517	-0.00592297369923806	-0.00673483779633024
Fe4	fenol	0	-0.0200166928534214	-0.0224791879947621	0.0102801153863968	-0.0154250241344615	-0.00458163078380916	-0.00558724104576726	-0.000391135244395488	0.00106726581068726	-0.00396402663728718	0.0211686582158692	-0.0534808992975419
Fe5	fenol	0.0341246375652847	0.019965433051034	-0.044220018998118	-0.029363680550439	-0.00732607851487333	-0.0008146804827533	0.000119305494171275	-0.000324674220224427	0.0012583496399498	0.00312432950260912	-0.0251921552349561	-0.0161576179566043
Fe6	fenol	0.0378866074689162	0.0752883664852523	-0.0199775283362935	0.01370418082105	0.00921696089128365	0.0113647426559392	-0.0024720744294089	-0.00188590679988649	-0.000649429724893361	0.0149225359404305	0.0065344085965077	0.0433976880357912
Q1	kit	0.0530109978838006	0.0724628609223421	-0.00607733852854759	-0.00107742387859542	0.0173924322026704	-0.0121885372918315	-0.00136993312413465	0.00248906557172412	0.00834246317973542	-0.0104179737889926	0.00308228137490204	0.0448332956722795
Q2	kit	0.0267254162367231	0.0250440461813906	0.0337919439602026	0.000867526162479327	-0.0187626257429405	0.0116874956347291	-0.00167537817728046	0.00293563063172441	0.00926234854082341	-0.00517852704328722	-0.010008190060683	0.0116447763515975
Q3	kit	0.206159812326069	-0.18824972872076	-0.00950271517469927	0.00407854031023306	-0.0021352945690729	-0.000748345251672249	1.11180179377297e-05	3.5861510584332e-05	-0.00117967269617498	-0.000675335497858476	-0.00168483653205597	0.0634289406158498
Q4	kit	0	0.0208848679291263	-0.00267744662290295	-0.00917181037707709	0.00711199084550476	0.00865085654107075	0.00114777682235986	0.000919917057131109	-0.017913081000166	-0.0160765941735	0.00738802813828705	-0.00524933268117622
Q5	kit	0	-0.021647832748156	0.00337790346221539	0.0324522794028563	0.0139478052728256	-0.00022741204138831	0.000934628114393846	-0.00102436023794308	0.000796773398730169	-0.00379893544117679	-0.0244479698484017	-0.051912258461096
Q6	kit	0.0321266722918278	0.0463662500817731	0.0233154415039325	-0.00252361744649048	-0.0126338912112673	-0.00580844030524256	0.00250968290373496	-0.00610491420702914	0.000393116377942193	-0.00593005830784162	0.00139329914360154	0.0241267766871529
