SampleID	Group	Distance_to_Centroid	PCoA1	PCoA2	PCoA3	PCoA4	PCoA5	PCoA6	PCoA7	PCoA8	PCoA9	PCoA10	PCoA11
Fe1	fenol	0.413537839704331	0.0784529203933541	0.158582075815816	-0.22395729632595	0.106004905931161	0.300464784693927	0.00983680037436553	-0.00621245354933829	0.0877778101172858	-0.0911131896006759	0.0740729846911203	0.0083007745812162
Fe2	fenol	0.405340869004384	0.0790450687741437	0.0491047183455106	-0.0531236268915851	-0.37099220696486	0.0409565499121672	-0.0320166308336761	0.153455942219346	0.0582672916654012	0.0240204326009099	-0.0596657126919328	-0.0516412384648827
Fe3	fenol	0.353246410696252	0.0463706423153193	0.0309165187961754	-0.283534312700277	0.106338276350094	-0.142381297368981	-0.157642748737922	0.138991799138717	-0.125778764349748	0.0628706754952032	0.0243209981434405	0.0327153096183743
Fe4	fenol	0.594547833393278	0.33666930533326	-0.446488318141985	-0.102895121306865	-0.104337336517472	-0.0171238503378047	0.0642544447799628	-0.156960069787208	-0.0719018109837539	-0.0411164313396862	0.00981058938700804	0.00998424501047127
Fe5	fenol	0.546381564452643	-0.440277778535732	-0.16613056496368	-0.0649673427466127	0.0254666128970225	-0.0850504656019445	-0.0592989667568717	-0.0336864739212035	0.092248332448282	-0.142513709698862	-0.121439107883532	0.017705872941548
Fe6	fenol	0.372969912059271	-0.00423352914574444	0.155759098629425	-0.121142292985268	0.0529977578513674	-0.160198937859295	0.263886892795386	-0.0239271228538129	0.114144706654487	0.110021654969189	-0.0129626826204714	0.0100585819628849
Q1	kit	0.342129660751165	0.0778325068667691	0.235982198587148	0.0894143325700379	0.0711488709735648	0.119628046884661	-0.00610169741138313	-0.103069668400141	-0.135974665820608	0.0530576897492751	-0.192826904267854	-0.00217292225936952
Q2	kit	0.360852396230784	-0.0676832475403898	0.218283906693798	0.133238885954923	-0.173239925057328	-0.0505155111770757	-0.140122446022114	-0.175524309784217	0.0468231819810323	0.0488229405138721	0.10340768048124	0.056286611570966
Q3	kit	0.223394596216826	0.0412264084518313	0.0965442993730025	0.0642153422751746	0.131597809146417	-0.12892936964484	-0.0567081411682367	-0.0724766895314688	-0.00915763876121859	-0.0580714958051755	0.0704829095625865	-0.118227359305797
Q4	kit	0.498286040828697	0.265884340946176	-0.208553020121404	0.263913638772512	0.174973457114952	0.0192585760039674	-0.0822019232912975	0.110598956232614	0.147974451995438	0.0592750342457727	-0.0268804382997367	0.02054923112178
Q5	kit	0.598378462739244	-0.428849830949647	-0.247261273307978	0.0786836034550494	0.0140834387839757	0.150127350214645	0.0572022802293901	0.0294330695559418	-0.0846348892547511	0.134787834584006	0.078414312440426	-0.0214298730297437
Q6	kit	0.319400388909084	0.0155631930906577	0.123260360294172	0.22015418992886	-0.0340416605088943	-0.0462358757194268	0.138912136042398	0.139377020680771	-0.119788005691844	-0.16004143571383	0.0532653710577063	0.0378707662525512
