SampleID	Group	Distance_to_Centroid	PCoA1	PCoA2	PCoA3	PCoA4	PCoA5	PCoA6	PCoA7	PCoA8	PCoA9	PCoA10	PCoA11
Fe1	fenol	0.429227697089233	-0.0804350405969888	0.0937241613730327	0.27394811015561	0.183370891224039	0.0109480707715873	0.231132786552802	0.121268536645265	0.000558878809190236	0.0771621643496894	0.0619397601794546	-0.131486841651833
Fe2	fenol	0.489854376171353	-0.128515762667837	0.106914369843401	-0.293580836006935	0.0886685674431772	0.298996125780568	0.0548576645680288	0.00168023693767535	0.0423944884137337	0.163139140448256	-0.0482490438386486	0.0698727149521521
Fe3	fenol	0.400958726652221	-0.0743485369231328	0.0612453233568628	-0.0527921711901133	0.284249343202377	-0.124932452689288	0.0580401540730057	-0.290780930769637	-0.0162457761545723	-0.113350726039118	-0.00201161374121704	0.0304388911516936
Fe4	fenol	0.591656100072867	-0.218595798236917	-0.508878276325533	-0.0533843923863551	0.111489802053951	0.076085714312621	-0.086556710254088	0.119780552088755	-0.000203511588746232	-0.129633855608141	0.0722964794998721	0.00110470821960403
Fe5	fenol	0.579545413950493	0.495008392185189	-0.0944608380592711	-0.0394089962784808	0.0787542321665532	-0.0446586285258155	-0.0873738728968121	0.00696006341152463	-0.187833687773594	0.129570510422258	0.0948400281989603	0.0235835747922779
Fe6	fenol	0.405104513389128	0.0163468428231645	0.0914742790376303	0.204672447813272	0.123771487495347	-0.0203603658440848	-0.294210556039209	0.0207928202515669	0.129310062580918	0.0608576743640443	-0.143242932837428	-0.0328464226901756
Q1	kit	0.379589377024687	-0.0895322528598039	0.156852659810368	0.24810821224106	-0.101762128778832	0.0182580452987437	0.0283940764522763	0.071022677189885	-0.0675852944514281	-0.0701323727630568	0.0118769555900585	0.243788572285026
Q2	kit	0.394319354572688	-0.0121877426892707	0.259812486663396	-0.106177070805688	-0.114093107766613	0.10481223841115	-0.0511890802584484	0.0493934000790995	-0.186702450762231	-0.179828480502931	-0.0768879117569669	-0.132298118299214
Q3	kit	0.491851614619045	-0.109439839809948	0.118987177684146	-0.274438902160323	-0.0500685605687281	-0.353371198031441	0.0202618724653959	0.158546669384699	0.0657595396500293	0.0317765876909383	0.00602122659471026	0.0156465682397007
Q4	kit	0.506476397913196	-0.199200626015594	-0.28142677962492	0.0850742813012051	-0.266161841538607	-0.0755686333325098	0.0618662491908306	-0.139090537633624	-0.0910563013433855	0.138822833563951	-0.119312106419026	-0.0371417223423634
Q5	kit	0.581608410539007	0.450874013521876	-0.132142659381526	-0.0137699396985089	-0.110333853765815	0.0474427348674363	0.157318200348533	0.00275347052105872	0.182510795218686	-0.114768660079354	-0.0918815039887039	0.00352902176184169
Q6	kit	0.341209480048188	-0.0499736487307339	0.127898095622413	0.0217492570152591	-0.22788483116685	0.0623483489810317	-0.0925407842023136	-0.122326958106268	0.1290932574014	0.00638518415346374	0.234610662518935	-0.0541909464187107
