site1	site2	value	metodo.x	edad.x	estructura.x	edad.metodo.x	estructura.metodo.x	Individuo.x	metodo.y	edad.y	estructura.y	edad.metodo.y	estructura.metodo.y	Individuo.y	condition1_group
Fe2	Q1	21	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P1	kit	joven	plasmodio	kit-joven	plasmodiokit	P3	fenol_vs_kit
Fe3	Q1	21	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P1	kit	joven	plasmodio	kit-joven	plasmodiokit	P3	fenol_vs_kit
Fe4	Q1	11	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P2	kit	joven	plasmodio	kit-joven	plasmodiokit	P3	fenol_vs_kit
Fe5	Q1	11	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P2	kit	joven	plasmodio	kit-joven	plasmodiokit	P3	fenol_vs_kit
Fe6	Q1	22	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P2	kit	joven	plasmodio	kit-joven	plasmodiokit	P3	fenol_vs_kit
Fe1	Q2	20	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P1	kit	viejo	plasmodio	kit-joven	plasmodiokit	P3	fenol_vs_kit
Fe2	Q2	29	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P1	kit	viejo	plasmodio	kit-joven	plasmodiokit	P3	fenol_vs_kit
Fe3	Q2	23	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P1	kit	viejo	plasmodio	kit-joven	plasmodiokit	P3	fenol_vs_kit
Fe4	Q2	9	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P2	kit	viejo	plasmodio	kit-joven	plasmodiokit	P3	fenol_vs_kit
Fe5	Q2	14	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P2	kit	viejo	plasmodio	kit-joven	plasmodiokit	P3	fenol_vs_kit
Fe6	Q2	21	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P2	kit	viejo	plasmodio	kit-joven	plasmodiokit	P3	fenol_vs_kit
Fe1	Q3	24	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P1	kit	joven	plasmodio	kit-joven	plasmodiokit	P3	fenol_vs_kit
Fe2	Q3	32	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P1	kit	joven	plasmodio	kit-joven	plasmodiokit	P3	fenol_vs_kit
Fe3	Q3	32	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P1	kit	joven	plasmodio	kit-joven	plasmodiokit	P3	fenol_vs_kit
Fe4	Q3	16	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P2	kit	joven	plasmodio	kit-joven	plasmodiokit	P3	fenol_vs_kit
Fe5	Q3	16	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P2	kit	joven	plasmodio	kit-joven	plasmodiokit	P3	fenol_vs_kit
Fe6	Q3	25	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P2	kit	joven	plasmodio	kit-joven	plasmodiokit	P3	fenol_vs_kit
Fe1	Q4	16	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P1	kit	viejo	plasmodio	kit-joven	plasmodiokit	P4	fenol_vs_kit
Fe2	Q4	17	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P1	kit	viejo	plasmodio	kit-joven	plasmodiokit	P4	fenol_vs_kit
Fe3	Q4	17	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P1	kit	viejo	plasmodio	kit-joven	plasmodiokit	P4	fenol_vs_kit
Fe4	Q4	19	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P2	kit	viejo	plasmodio	kit-joven	plasmodiokit	P4	fenol_vs_kit
Fe5	Q4	8	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P2	kit	viejo	plasmodio	kit-joven	plasmodiokit	P4	fenol_vs_kit
Fe6	Q4	15	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P2	kit	viejo	plasmodio	kit-joven	plasmodiokit	P4	fenol_vs_kit
Fe1	Q5	13	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P1	kit	joven	plasmodio	kit-joven	plasmodiokit	P4	fenol_vs_kit
Fe2	Q5	14	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P1	kit	joven	plasmodio	kit-joven	plasmodiokit	P4	fenol_vs_kit
Fe3	Q5	14	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P1	kit	joven	plasmodio	kit-joven	plasmodiokit	P4	fenol_vs_kit
Fe4	Q5	8	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P2	kit	joven	plasmodio	kit-joven	plasmodiokit	P4	fenol_vs_kit
Fe5	Q5	20	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P2	kit	joven	plasmodio	kit-joven	plasmodiokit	P4	fenol_vs_kit
Fe6	Q5	14	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P2	kit	joven	plasmodio	kit-joven	plasmodiokit	P4	fenol_vs_kit
Fe1	Q6	20	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P1	kit	viejo	plasmodio	kit-joven	plasmodiokit	P4	fenol_vs_kit
Fe2	Q6	26	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P1	kit	viejo	plasmodio	kit-joven	plasmodiokit	P4	fenol_vs_kit
Fe3	Q6	22	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P1	kit	viejo	plasmodio	kit-joven	plasmodiokit	P4	fenol_vs_kit
Fe4	Q6	12	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P2	kit	viejo	plasmodio	kit-joven	plasmodiokit	P4	fenol_vs_kit
Fe5	Q6	13	fenol	joven	plasmodio	fenol-joven	plasmodiofenol	P2	kit	viejo	plasmodio	kit-joven	plasmodiokit	P4	fenol_vs_kit
Fe6	Q6	22	fenol	viejo	plasmodio	fenol-joven	plasmodiofenol	P2	kit	viejo	plasmodio	kit-joven	plasmodiokit	P4	fenol_vs_kit
