#OTUID	taxonomy	Confidence
00f2ae273de4fa14f5b7a17e55e116b2	d__Bacteria; p__Actinobacteriota; c__Acidimicrobiia; o__Microtrichales; f__Ilumatobacteraceae; g__Ilumatobacter	0.9961135849108518
00f620273eefcb4070a0edf6c1f19953	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas	0.9886625706605155
010fb7e4ae42f383810b60c5a44c9025	d__Bacteria; p__Planctomycetota; c__Planctomycetes; o__Gemmatales; f__Gemmataceae; g__uncultured	0.9851536474030986
010fe23ba1fd17178be30796eb85ba39	d__Bacteria; p__Myxococcota; c__Polyangia; o__Polyangiales; f__Sandaracinaceae; g__uncultured; s__uncultured_Polyangiaceae	0.9911860613897844
01142569a76bddb26900d6489d214041	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Nitrosomonadaceae; g__MND1	0.9997169577105888
01180cbeb3d88bdb6f77aa6ffe13bed4	d__Bacteria; p__Planctomycetota; c__OM190; o__OM190; f__OM190; g__OM190	0.9999863701858946
011b610835ecdf1fbfb180a8d39ef052	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Pseudoxanthomonas	0.9867317156624897
012871784f77c9dca7d446ddef2048d1	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Paludibacteraceae; g__Paludibacter	0.9773593001176156
01442fc4151c7d7ad66dcd0042a1e0ea	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Cupriavidus	0.9979058283075138
015f0be1d2a566e658df5549102ebb10	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__Pedosphaeraceae; s__uncultured_bacterium	0.7129964817124588
