Feature ID	Taxon	Consensus
3639f7e2abcff040359a12b014002f1a	d__Eukaryota	1.0
3655655d15d8b2984917e821394959e3	d__Eukaryota; p__Ascomycota; c__Dothideomycetes; o__Pleosporales	1.0
374d5e2eef745c1b6fb2a85cfd0e82ad	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Oligohymenophorea	1.0
3c17a448b32e271a8f40ad1003b3da48	d__Eukaryota; p__Cercozoa; c__Imbricatea; o__Imbricatea; f__Euglyphida	0.8
3c873118e36c254c54a3501ffccbede2	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Hypotrichia	0.7
3e0d9f24e62a49ccc8358c84175366ca	d__Eukaryota; p__Mucoromycota; c__Incertae_Sedis; o__Endogonales; f__Endogonaceae; g__Endogone	0.6
3ea4cfda260f89f433f4586813a110c6	d__Eukaryota; p__Mucoromycota; c__Glomeromycetes; o__Glomerales; f__Glomeraceae; g__Rhizophagus	0.8
3f9555f17346f4106bc9f0736c4f4885	d__Eukaryota; p__Ascomycota; c__Dothideomycetes	0.7
406012e695765f3e980e0f14d8f65e4a	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Agaricales	1.0
41aa83df473a7e7fb188c20bbc0777d2	d__Eukaryota; p__Basidiomycota; c__Malasseziomycetes; o__Malasseziales; f__Malasseziaceae; g__Malassezia; s__uncultured_fungus	0.7
41dfc9ba85f4355025feaf4082d47d29	d__Eukaryota; p__Mucoromycota; c__Incertae_Sedis; o__Mortierellales; f__Mortierellaceae; g__Mortierella; s__uncultured_Eimeriidae	0.6
42823bdb0fd3533c10f3d054abf4ec0f	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Colpodea	0.9
46a1a63c7d17a31b0be80f8063f21304	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae	0.8
47b4028c53a452dd2c068e74270b47a5	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Colpodea	1.0
49320eac1575e8817c446d673ef7becc	d__Eukaryota; p__Mucoromycota; c__Incertae_Sedis; o__Mucorales; f__Mucoraceae; g__Mucor	1.0
4c0cbaed5290a0c837ee10e5089b69d2	d__Eukaryota; p__Mucoromycota; c__Glomeromycetes	0.8
4c70f0e0aa2e22b1f77df5d14d0c7b49	d__Eukaryota; p__uncultured; c__uncultured; o__uncultured; f__uncultured; g__uncultured; s__uncultured_fungus	1.0
4dad3bff5136f285bee36b6838dd4c2d	d__Eukaryota; p__Fungi; c__Fungi; o__Fungi; f__Fungi; g__Fungi; s__Glomeromycotina_sp.	1.0
4dd7071272dc3998a37678848b7e937a	d__Eukaryota; p__Basidiomycota; c__Agaricomycetes; o__Auriculariales	0.7
4dde57da4012b0c411cc095912ef9adf	d__Eukaryota; p__Incertae_Sedis; c__Incertae_Sedis; o__Incertae_Sedis; f__Incertae_Sedis; g__Ischnamoeba; s__Ischnamoeba_sp.	1.0
508d2b9081fa5318f33d925ffb9f7a10	d__Eukaryota; p__Nematozoa; c__Chromadorea; o__Rhabditida; f__Rhabditida; g__Rhabditida	1.0
51bd2ec53b2206203329689f618e815e	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Oxytrichidae; g__Oxytrichidae; s__uncultured_eukaryote	0.6
522081848d58fb596ce805974dec3874	d__Eukaryota; p__Nematozoa; c__Chromadorea; o__Araeolaimida; f__Araeolaimida; g__Araeolaimida	0.7
53515dd1bbe75676c72c1ea084415b3d	d__Eukaryota; p__Labyrinthulomycetes; c__Labyrinthulomycetes; o__Labyrinthulomycetes; f__Thraustochytriaceae; g__Aplanochytrium; s__uncultured_eukaryote	0.8
55571fde7ff710ab78cd5e0cfc633fbd	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium	0.9
55927e54568b01561d8b5ccb779f420b	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium	0.9
55da482e6c1c261c9733d84e4eae9c1c	d__Eukaryota; p__Ascomycota; c__Dothideomycetes; o__Pleosporales	0.6
588a0e16a32970569d10c88aaa93f050	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium	0.9
5a6ac543a702cae2b4f13f6496945981	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Spirotrichea; f__Hypotrichia; g__Hypotrichia	0.6
5b279fd6efa8544775d6470583158832	d__Eukaryota; p__Chytridiomycota; c__Chytridiomycetes	1.0
5b79937947e7c6731c4ca6d946399016	d__Eukaryota; p__Ascomycota; c__Sordariomycetes; o__Hypocreales	1.0
5e0cf32121b27b69a101f7d974fb3593	d__Eukaryota; p__Ciliophora; c__Intramacronucleata; o__Conthreep; f__Colpodea	1.0
5e9beac5d114d2fd2d50717eaf605bd5	d__Eukaryota; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales; f__Orbiliaceae	0.9
